@relation QueryResult

@attribute imie {Jan,Stanislaw,Andrzej,Jozef,Tadeusz,Jerzy,Zbigniew,Krzysztof,Henryk,Ryszard,Kazimierz,Marek,Marian,Piotr,Janusz,Wladyslaw,Adam,Wieslaw,Zdzislaw,Edward,Mieczyslaw,Roman,Miroslaw,Grzegorz,Czeslaw,Dariusz,Wojciech,Jacek,Tomasz,Stefan,Zygmunt,Leszek,Bogdan,Antoni,Pawel,Franciszek,Jaroslaw,Robert,Mariusz,Wlodzimierz,Michal,Zenon,Boguslaw,Witold,Aleksander,Bronislaw,Waclaw,Boleslaw,Ireneusz,Maciej,Artur,Edmund,Marcin,Lech,Karol,Rafal}
@attribute miasto {Lublin,Rzeszow,Warszawa,Kielce,Krakow,Katowice,Lodz,Gdansk,Wroclaw,Poznan,Szczecin,Bialystok}
@attribute aktywny {nie,tak}

@data
Henryk,Warszawa,nie
Ryszard,Warszawa,nie
Kazimierz,Warszawa,nie
Marek,Kielce,tak
Marian,Krakow,nie
Piotr,Krakow,tak
Janusz,Katowice,nie
Wladyslaw,Lodz,nie
Adam,Lodz,nie
Wieslaw,Gdansk,nie
Zdzislaw,Gdansk,tak
Edward,Wroclaw,tak
Mieczyslaw,Wroclaw,nie
Roman,Wroclaw,nie
Miroslaw,Poznan,nie
Grzegorz,Poznan,nie
Czeslaw,Poznan,nie
Dariusz,Szczecin,nie
Wojciech,Szczecin,tak
Jacek,Bialystok,nie
Tomasz,Lublin,nie
Stefan,Rzeszow,nie
Zygmunt,Warszawa,nie
Leszek,Warszawa,tak
Bogdan,Warszawa,tak
Antoni,Kielce,nie
Pawel,Krakow,nie
Franciszek,Krakow,nie
Jaroslaw,Katowice,nie
Robert,Lodz,nie
Mariusz,Lodz,nie
Wlodzimierz,Gdansk,tak
Michal,Gdansk,nie
Zenon,Wroclaw,nie
Boguslaw,Wroclaw,nie
Witold,Wroclaw,nie
Aleksander,Poznan,tak
Bronislaw,Poznan,tak
Waclaw,Poznan,nie
Boleslaw,Szczecin,nie
Ireneusz,Szczecin,tak
Maciej,Bialystok,tak
Artur,Lublin,nie
Edmund,Rzeszow,tak
Marcin,Warszawa,tak
Lech,Warszawa,nie
Karol,Warszawa,nie
Rafal,Kielce,nie
Jan,Krakow,tak
Stanislaw,Krakow,nie
Andrzej,Katowice,tak
Jozef,Lodz,tak
Tadeusz,Lodz,nie
Jerzy,Gdansk,nie
Zbigniew,Gdansk,nie
Krzysztof,Wroclaw,tak
Henryk,Wroclaw,nie
Ryszard,Wroclaw,nie
Kazimierz,Poznan,tak
Marek,Poznan,tak
Marian,Poznan,nie
Piotr,Szczecin,nie
Janusz,Szczecin,nie
Wladyslaw,Bialystok,nie
Adam,Lublin,nie
Wieslaw,Rzeszow,nie
Zdzislaw,Warszawa,nie
Edward,Warszawa,nie
Mieczyslaw,Warszawa,tak
Roman,Kielce,tak
Miroslaw,Krakow,nie
Grzegorz,Krakow,tak
Czeslaw,Katowice,tak
Dariusz,Lodz,nie
Wojciech,Lodz,tak
Jacek,Gdansk,tak
Tomasz,Gdansk,nie
Stefan,Wroclaw,nie
Zygmunt,Wroclaw,tak
Leszek,Wroclaw,nie
Bogdan,Poznan,tak
Antoni,Poznan,nie
Pawel,Poznan,nie
Franciszek,Szczecin,nie
Jaroslaw,Szczecin,nie
Robert,Bialystok,nie
Mariusz,Lublin,nie
Wlodzimierz,Rzeszow,nie
Michal,Warszawa,nie
Zenon,Warszawa,nie
Boguslaw,Warszawa,nie
Witold,Kielce,tak
Aleksander,Krakow,nie
Bronislaw,Krakow,nie
Waclaw,Katowice,nie
Boleslaw,Lodz,tak
